姓名,平时成绩,期中成绩,期末成绩
李白,84,80,72
杜甫,90,80,87
王维,84,100,79
骆宾王,94,80,90
孟浩然,89,90,83
李商隐,93,85,88
杜牧,91,80,94
王勃,93,100,94
杨炯,76,70,86
卢照邻,84,45,90
骆宾王,89,80,84
陈子昂,97,100,94
张九龄,60,0,63
贺知章,89,70,84
王昌龄,90,100,88
岑参,96,85,85
高适,83,70,85
常建,90,90,91
王之涣,89,70,89
崔颢,89,80,81
李适,78,85,82
张继,86,90,86
韦应物,84,70,78
柳宗元,89,45,86
韩愈,75,60,73
白居易,86,90,85
元稹,88,70,85
刘禹锡,82,70,74
李贺,88,95,76
孟郊,91,100,89
贾岛,85,85,82
温庭筠,90,95,88
罗隐,94,85,91
韦庄,90,70,84
司空图,88,85,97
苏东坡,84,75,81
陆游,78,80,87
杨万里,66,30,55
王安石,90,85,75
欧阳修,89,100,82
文天祥,87,70,91
岳飞,88,85,84
辛弃疾,74,85,72
